V1,V2,V3
163.275,372.183,390.40999999999997
162.35000000000002,369.683,409.92999999999995
171.854,412.279,409.92999999999995
169.152,376.02,411.882
160.26300000000003,414.91599999999994,377.722
173.893,406.726,389.43399999999997
172.43200000000002,386.92,386.506
168.543,403.99399999999997,380.65
164.898,393.67,402.12199999999996
160.961,405.807,421.642
176.671,410.39599999999996,395.28999999999996
171.95000000000002,412.102,385.53
160.495,386.725,419.69
174.05100000000002,418.836,460.68199999999996
164.696,385.206,392.36199999999997
159.32,368.05199999999996,420.666
169.152,402.52299999999997,409.92999999999995
187.965,451.346,414.81
166.454,381.834,379.674
169.442,404.711,381.626
177.339,413.991,437.258
188.997,430.92199999999997,424.57
181.532,415.49600000000004,438.234
169.71,366.76,402.12199999999996
172.923,418.748,425.546
169.411,388.91700000000003,394.31399999999996
166.777,390.529,380.65
174.594,409.014,371.866
164.354,372.347,404.07399999999996
173.43,418.917,434.33
157.707,382.751,405.04999999999995
172.243,402.824,385.53
166.596,392.428,377.722
170.371,378.139,385.53
183.241,441.58000000000004,404.07399999999996
174.449,412.998,412.858
162.074,375.172,429.45
163.05900000000003,410.697,408.95399999999995
165.52700000000002,371.16,411.882
177.196,387.536,391.38599999999997
184.221,429.184,407.00199999999995
167.61200000000002,389.58900000000006,454.82599999999996
157.471,355.416,434.33
173.091,430.212,380.65
177.519,403.003,362.106
177.401,443.95,414.81
171.712,389.02199999999993,411.882
175.986,405.15099999999995,418.714
184.34199999999998,438.935,347.46599999999995
183.55,466.087,419.69
170.262,388.205,403.09799999999996
151.76500000000001,387.971,408.95399999999995
164.393,399.943,387.48199999999997
177.43400000000003,395.358,410.90599999999995
165.669,416.002,406.02599999999995
165.332,406.758,384.554
166.025,404.39,407.97799999999995
170.80200000000002,388.485,373.818
149.23399999999998,367.879,412.858
154.466,372.361,404.07399999999996
181.412,405.12,381.626
173.119,390.457,434.33
169.055,380.974,384.554
167.87400000000002,385.62,402.12199999999996
163.614,393.121,411.882
168.562,369.61,392.36199999999997
173.8,414.619,422.618
173.555,418.538,371.866
172.638,394.2,415.786
177.336,424.31399999999996,393.33799999999997
154.41,389.209,407.97799999999995
165.836,428.479,371.866
168.921,401.624,377.722
160.402,396.72299999999996,384.554
146.758,343.001,388.45799999999997
157.912,370.08,387.48199999999997
168.978,390.2819999999999,342.58599999999996
173.893,402.299,372.842
176.86599999999999,423.352,366.986
194.83300000000003,455.243,414.81
163.407,366.08500000000004,404.07399999999996
169.863,369.31399999999996,405.04999999999995
171.695,410.085,409.92999999999995
162.93200000000002,397.732,394.31399999999996
176.324,381.24899999999997,360.154
158.13299999999998,396.661,397.24199999999996
157.10500000000002,398.88599999999997,363.082
162.763,378.185,401.14599999999996
150.822,331.423,351.37
153.613,373.92,390.40999999999997
165.577,386.08000000000004,399.19399999999996
160.49599999999998,384.849,427.498
170.151,411.132,418.714
168.21800000000002,380.86400000000003,395.28999999999996
173.368,393.035,420.666
172.216,401.67,385.53
164.394,384.45900000000006,385.53
169.248,393.399,400.16999999999996
159.186,383.568,410.90599999999995
166.914,384.78200000000004,405.04999999999995
166.56,375.586,388.45799999999997
173.95,383.28000000000003,363.082
164.091,354.572,415.786
170.53199999999998,392.56199999999995,422.618
167.798,408.789,387.48199999999997
160.43800000000002,405.197,397.24199999999996
175.43800000000002,441.213,384.554
187.378,448.584,433.354
163.54000000000002,409.222,405.04999999999995
161.821,388.77299999999997,399.19399999999996
191.949,432.80199999999996,390.40999999999997
179.53,443.991,395.28999999999996
180.05200000000002,378.29499999999996,434.33
168.85000000000002,397.702,372.842
164.313,378.45799999999997,421.642
174.679,390.98600000000005,366.986
174.722,403.913,416.762
173.534,395.314,418.714
171.56300000000002,383.07,420.666
169.074,369.688,365.034
176.436,420.201,388.45799999999997
173.102,399.663,423.594
